name,description,date,importance,unemployment_rate,unemployment_rate_6m,unemployment_rate_12m,unemployment_rate_18m,unemployment_rate_24m,gdp,gdp_6m,gdp_12m,gdp_18m,gdp_24m,cpi,cpi_6m,cpi_12m,cpi_18m,cpi_24m,oil_price,oil_price_6m,oil_price_12m,oil_price_18m,oil_price_24m
The Shift toward Renewable Energy (2010s),A global trend towards renewable energy impacting industries and reducing reliance on fossil fuels.,2010-01-01,4,9.8,9.4,9.1,9.1,8.3,16582.71,16743.162,16920.632,17035.114,17367.01,1.170764,0.7780127,0.9539952,1.29395,2.113351,78.22,75.35,89.42,96.29,100.24
The US-China Phase One Trade Agreement (2020),"A trade deal aimed at resolving ongoing trade disputes, impacting bilateral trade patterns significantly.",2020-01-15,4,3.6,10.2,6.4,5.4,4.0,20693.238,20548.793,21058.379,21571.421,21903.85,2.790484,2.281283,1.400569,2.323597,3.965498,57.52,40.71,52.0,72.49,83.22
The Canadian Housing Market Collapse (1990s),A significant crash in the Canadian housing market affecting the economy and policy changes in housing finance.,1990-01-01,4,5.4,5.2,6.4,6.9,7.3,10047.386,10083.855,9951.916,10029.51,10236.435,4.905908309,5.370697673,5.815290409,4.934653949,4.052308746,22.641,16.871,24.959,20.195,18.82
The Dot-com Bubble (1995-2000),Speculative bubble in internet-based companies; its burst influenced stock markets and investments in technology.,1995-01-01,5,5.6,5.6,5.6,5.3,5.4,11319.951,11353.721,11614.418,11808.14,12037.775,3.144200833,3.332283478,3.277075064,3.051784638,3.05642197,17.99,18.42,18.88,20.45,25.39
The 2008 G20 London Summit,A major meeting of world leaders addressing the financial crisis and coordinating economic recovery efforts globally.,2009-04-02,4,9.0,9.8,9.9,9.5,9.1,16269.145,16326.281,16743.162,16872.266,17035.114,2.359914,1.602846,0.869413,0.6638685,1.210295,49.79,69.46,84.48,75.31,110.04
The European Refugee Crisis (2015-2016),"A humanitarian crisis with significant social and economic implications for Europe, affecting labor markets and public policies.",2015-01-01,4,5.7,5.3,4.8,4.9,4.7,18666.621,18782.243,19001.69,19062.709,19304.352,1.976365,2.103732,2.460879,2.563629,2.585286,47.22,59.82,31.68,48.76,51.97
The United States' Trade Sanctions (Various),Sanctions imposed on various countries affecting global trade dynamics and economies.,2000-01-01,4,4.0,4.0,3.9,4.5,5.7,13878.147,14130.908,14229.765,14271.694,14253.574,2.335519,2.701492,2.972089,3.200619,3.564921,27.18,31.83,28.46,27.6,19.33
The Digital Silk Road Initiative (2015),China's strategy of expanding its digital infrastructure initiatives affecting global telecommunications and e-commerce.,2015-01-01,4,5.7,5.3,4.8,4.9,4.7,18666.621,18782.243,19001.69,19062.709,19304.352,1.976365,2.103732,2.460879,2.563629,2.585286,47.22,59.82,31.68,48.76,51.97
The Rise of E-commerce (2010s),A significant shift towards online shopping impacting retail economies globally.,2010-01-01,4,9.8,9.4,9.1,9.1,8.3,16582.71,16743.162,16920.632,17035.114,17367.01,1.170764,0.7780127,0.9539952,1.29395,2.113351,78.22,75.35,89.42,96.29,100.24
The Global Water Crisis (Present),Ongoing water shortages and quality issues affecting economies and livelihoods worldwide.,2020-01-01,4,3.6,11.0,6.7,5.9,3.9,20693.238,19056.617,20771.691,21389.005,21960.388,2.790484,1.993544,1.600671,2.558145,3.456458,57.52,38.31,47.02,71.38,71.71
