name,description,long_description,date,importance,unemployment_rate,unemployment_rate_6m,unemployment_rate_12m,unemployment_rate_18m,unemployment_rate_24m,gdp,gdp_6m,gdp_12m,gdp_18m,gdp_24m,cpi,cpi_6m,cpi_12m,cpi_18m,cpi_24m,oil_price,oil_price_6m,oil_price_12m,oil_price_18m,oil_price_24m
The Global Recession of 1975,Global recession impacts many economies.,"The global recession of 1975 was a significant economic downturn that resulted from a combination of factors, including the 1973 oil crisis, the subsequent energy crisis, and declining consumer confidence. Many countries, especially industrialized nations, faced double-digit inflation and rising unemployment rates as economies contracted sharply. The recession led to decreased industrial production, rising costs of living, and increased government intervention in economies worldwide. Countries like the United States and the United Kingdom implemented policies to counter inflation and unemployment, leading to public discontent and strikes. The economic challenges faced during this period significantly influenced economic thought and policy, with a shift towards monetarism and a reevaluation of Keynesian economics. The global recession showcased the interconnected nature of world economies and laid the groundwork for future economic reforms and policies aimed at fostering recovery and stability.",1975-01-01,5,8.1,8.8,7.9,7.6,7.8,5957.035,5999.61,6323.649,6370.025,6451.177,11.624378564,10.432971739,7.691042386,6.871017008,6.196677638,11.16,11.16,11.16,12.17,13.9
The Camp David Accords,Peace agreement impacts Middle Eastern economies.,"The Camp David Accords, signed in September 1978, were a historic peace agreement between Egypt and Israel, brokered by U.S. President Jimmy Carter. The accords marked the first time an Arab country recognized Israel, leading to significant political changes in the Middle East. Economically, the peace agreement had a substantial impact on the region, as it normalized relations and opened avenues for diplomatic and economic cooperation. Following the accords, Egypt received substantial military and economic aid from the United States, which helped stabilize its economy and improve infrastructure. The agreement also prompted a shift in regional alliances, affecting trade and investment in neighboring countries. While the initial reactions were mixed, over time, the accords laid the groundwork for subsequent peace efforts in the region and highlighted the economic benefits of diplomacy, influencing future economic policies in conflict-prone regions.",1978-09-17,4,6.0,5.8,5.9,6.3,7.5,7129.915,7238.727,7300.281,7341.557,7181.743,8.576148162,9.675145162,10.98372295,14.331667424,13.087752647,14.85,15.85,28.5,38.0,36.0
The 1979 Energy Crisis,Second oil crisis leads to economic shock.,"The 1979 energy crisis was triggered by the Iranian Revolution, leading to a reduction in oil exports from Iran and subsequent panic regarding oil supplies. Coupled with existing inflationary pressures from the previous oil crisis in 1973, this created a significant economic shock globally, with oil prices soaring to unprecedented levels. The price of oil nearly quadrupled, prompting widespread inflation and an economic downturn in the United States and other oil-dependent nations. Governments were forced to implement measures such as fuel rationing, energy conservation programs, and a shift towards alternative energy sources. The energy crisis also accelerated changes in transportation and industrial policies, influencing global energy markets and leading to lasting changes in consumer behavior regarding energy consumption. The long-term impact included a re-evaluation of energy strategies worldwide, prompting investments in sustainable and renewable energy sources.",1979-01-01,5,5.9,5.7,6.3,7.6,7.2,7238.727,7246.454,7341.557,7190.289,7315.677,9.070516336,10.269173247,13.469735746,15.774166719,12.685251999,14.85,19.1,32.5,39.5,37.0
The Establishment of China’s Open Door Policy,Economic reforms impact global trade.,"In December 1978, the Chinese Communist Party led by Deng Xiaoping announced the Open Door Policy, marking a significant shift towards market-oriented economic reforms in China. The policy aimed to attract foreign investment and technology while gradually embracing capitalism within a socialist framework. This transformative strategy resulted in substantial economic growth, increased productivity, and the opening of China to foreign trade and investment. Over the following decades, the policy would make China one of the world's largest economies. The impact on the global economy was profound, affecting trade routes, manufacturing, and the dynamics of international business, as countries sought to engage with the burgeoning Chinese market. The Open Door Policy also influenced global supply chains and contributed to the globalization of trade, fundamentally reshaping economic relationships worldwide.",1978-12-01,4,6.0,5.6,6.0,7.5,7.5,7225.75,7246.454,7318.535,7190.289,7315.677,9.058012586,10.082376559,12.734186684,15.115272835,12.870601808,14.85,18.1,32.5,39.5,36.0
The Great Inflation,Period of high inflation affects economies globally.,"The Great Inflation, which began in the late 1960s and continued into the early 1980s, was characterized by rising inflation rates that impacted many countries, particularly in the West. Caused by a combination of factors including oil price shocks from the energy crises, increased government spending, and monetary policy decisions, inflation rates soared, reaching double digits in many countries. The purchasing power of consumers diminished substantially, leading to decreased economic growth and increasing unemployment—a situation termed 'stagflation.' Governments were compelled to shift their economic policies, with many adopting tighter monetary policies and austerity measures to control inflation. The economic challenges presented by the Great Inflation set the stage for significant shifts in economic thought, with a movement towards monetarism and new approaches to fiscal and monetary policy aimed at restoring economic stability.",1970-01-01,5,3.9,4.9,5.9,5.9,5.8,5300.652,5308.164,5443.619,5473.059,5632.649,6.592370014,7.151974844,7.014858012,5.239199701,3.728280469,3.35,3.35,3.56,3.56,3.56
Gulf War,Invasion of Kuwait by Iraq,"In August 1990, Iraq, led by President Saddam Hussein, invaded Kuwait, claiming it was historically part of Iraq. The invasion prompted widespread condemnation and led to a coalition of 34 nations, spearheaded by the United States, launching Operation Desert Storm in January 1991 to liberate Kuwait. The conflict was resolved by February 1991, resulting in significant casualties and destruction. Economically, the war disrupted oil supplies, leading to a spike in oil prices and contributing to a recession in the early 1990s. The geopolitical landscape shifted, resulting in increased military spending and economic sanctions on Iraq, which strained the country's economy for years to come.",1990-08-02,5,5.7,6.4,6.9,7.3,7.6,10090.569,9951.916,10080.195,10236.435,10449.673,5.836270781,5.815290409,4.393094508,4.052308746,3.628120085,27.174,24.959,21.688,18.82,21.35
Dot-com Bubble,Rapid rise and fall of internet-based companies,"The dot-com bubble refers to the period between the mid-1990s and early 2000s when internet-based companies saw their stock prices skyrocket due to speculation. Investors poured money into tech startups, often without a viable business model. By 2000, the bubble burst, leading to the collapse of many companies and massive financial losses for investors. The NASDAQ composite index fell from approximately 5,000 in March 2000 to around 1,000 in 2002. This event resulted in the loss of billions in stock market value and significant layoffs in the tech industry, leading to an economic downturn in the early 2000s.",2000-03-10,4,4.0,3.9,4.3,5.0,5.7,13878.147,14145.312,14183.12,14214.516,14372.785,2.483286,2.897082,2.961886,3.388746,3.46848,29.89,33.88,27.24,25.88,24.42
Asian Financial Crisis,Economic crisis affecting multiple Asian countries,"Starting in July 1997, the Asian Financial Crisis began in Thailand when the government floated the baht, leading to massive depreciation and financial collapse. This crisis quickly spread to other countries in Asia, including Indonesia, South Korea, and Malaysia, resulting in severe currency depreciation, stock market declines, and economic contraction. The crisis led to International Monetary Fund (IMF) bailouts and economic reforms in affected countries. The impact of the crisis was profound, resulting in millions losing their jobs, widespread poverty, and a significant slowdown in economic growth in the region.",1997-07-01,5,4.9,4.7,4.5,4.4,4.3,12471.01,12577.495,12982.752,13191.67,13604.771,2.752239262,2.621535622,2.603335947,2.437823,2.111144,19.63,18.32,14.08,11.28,20.07
Russian Financial Crisis,Default on government bonds by Russia,"In August 1998, Russia's government defaulted on its debt obligations, leading to a severe financial crisis. The government's inability to manage its budget and make timely payments on domestic and foreign debt led to a dramatic devaluation of the ruble. Stock markets plummeted, and banks collapsed, resulting in a banking crisis and social unrest. The crisis had global repercussions, leading to a withdrawal of foreign investment and contributing to an economic slowdown in the world economy, particularly in emerging markets.",1998-08-17,4,4.5,4.4,4.2,4.1,4.1,12982.752,13315.597,13604.771,13878.147,14145.312,2.633982138,2.316234,2.094839,2.379221,2.874818,13.36,12.01,21.26,29.35,31.22
Y2K (Year 2000 Problem),Concerns about computer systems and date change,"As the year 2000 approached, there were widespread fears of a global crisis due to the 'Y2K bug,' where computer systems might fail to recognize the year 2000, leading to potential failures in critical infrastructure. Governments and private sectors around the world spent billions to fix potential issues. While the transition to the year 2000 passed with minimal disruptions, the significant investment showcased the economic impact of technology on society and presented a wake-up call about the importance of IT infrastructure, leading to increased spending in tech improvements post-2000.",2000-01-01,3,4.0,4.0,3.9,4.5,5.7,13878.147,14130.908,14229.765,14271.694,14253.574,2.335519,2.701492,2.972089,3.200619,3.564921,27.18,31.83,28.46,27.6,19.33
Mexico's Tequila Crisis,Economic crisis triggered by the peso devaluation,"In late 1994, the Mexican peso was devalued, leading to severe economic instability known as the Tequila Crisis. The devaluation resulted in capital flight, increased inflation, and a loss of investor confidence. The crisis required the U.S. and IMF to intervene with a bailout package. The economic turmoil adversely affected Mexico's GDP, increased poverty rates, and led to political instability. The implications of the crisis extended to the wider Latin American region, leading to economic slowdowns across neighboring countries as investors grew wary of emerging markets.",1994-12-01,4,5.5,5.6,5.6,5.6,5.4,11279.932,11353.721,11528.067,11808.14,12037.775,2.901446577,3.355294523,3.379829487,3.047772222,2.980390413,17.16,19.74,19.04,21.25,23.71
Launch of Euro,Introduction of a new currency and economic policy,"On January 1, 1999, the Euro was introduced as the official currency of eleven European countries, marking a significant step towards European economic integration. The Euro aimed to stabilize and unify the European economy but also faced challenges like differing fiscal policies among member states. The ripple effects included increased trade and investment across Europe, but the inability to have a unified fiscal policy later contributed to economic strains and crises, particularly during the European debt crisis of the late 2000s. The introduction of the Euro reshaped global monetary policy and trade relationships.",1999-01-01,4,4.3,4.3,4.0,4.0,3.9,13315.597,13426.748,13878.147,14130.908,14229.765,2.383116,2.070264,2.335519,2.701492,2.972089,12.47,17.89,27.18,31.83,28.46
Seattle WTO Protests,Demonstrations against the World Trade Organization,"In late 1999, large-scale protests against the World Trade Organization (WTO) took place in Seattle, with activists arguing that globalization favored large corporations and harms workers and the environment. The protests led to the shutdown of the WTO conference and garnered worldwide attention on issues such as labor rights, environmental concerns, and economic globalization. The impact of these protests prompted discussions on trade policies, leading to increased scrutiny of international agreements and shaping the public’s perception of globalization, which influenced future economic policies.",1999-11-30,3,4.1,4.0,3.9,4.3,5.5,13827.98,14130.908,14229.765,14271.694,14253.574,2.147821,2.558647,2.870145,3.07401,3.601999,24.97,28.78,34.4,28.64,19.67
Introduction of NAFTA,North American Free Trade Agreement came into effect,"Created to eliminate trade barriers between the United States, Canada, and Mexico, the North American Free Trade Agreement (NAFTA) came into effect on January 1, 1994. The agreement aimed to promote trade and economic growth among the three countries by reducing tariffs and fostering cross-border investment. While NAFTA led to increased trade and economic integration in North America, it also faced criticism for job losses in certain sectors due to outsourcing and impact on wages. The long-term economic effects significantly shaped North America's economy and labor market.",1994-01-01,4,6.6,6.1,5.6,5.6,5.6,10939.116,11087.361,11319.951,11353.721,11614.418,3.375759896,3.194738495,3.144200833,3.332283478,3.277075064,15.0,19.07,17.99,18.42,18.88
Introduction of the Internet,Mass adoption of the Internet affecting global economy,"The mass adoption of the Internet in the late 1990s transformed the global economy. Businesses began using the Internet for e-commerce, impacting traditional commerce, advertising, and consumer behavior. The rise of online marketplaces and the shift towards digital transactions led to significant changes in business models across various sectors. Economically, this surge contributed to the dot-com bubble in the late 1990s and influenced job creation in tech-related fields, while also prompting traditional businesses to adapt to digital changes, fundamentally reshaping global commerce.",1995-01-01,4,5.6,5.6,5.6,5.3,5.4,11319.951,11353.721,11614.418,11808.14,12037.775,3.144200833,3.332283478,3.277075064,3.051784638,3.05642197,17.99,18.42,18.88,20.45,25.39
Dot-com Bubble Burst,Collapse of the internet-based companies.,"The Dot-com Bubble Burst occurred in the early 2000s, indicating the collapse of the technology-driven stock market fuelled by excessive speculation. At its peak in March 2000, the NASDAQ composite was near 5,000, largely driven by internet companies. This bubble burst led to significant losses in stock prices, and many companies, including well-known firms, filed for bankruptcy. The burst had dire consequences, resulting in the loss of millions of jobs and a recession that severely impacted the technology sector, which took several years to recover. The effects also spilled over to other sectors, causing a broader economic downturn in the United States and impacting global markets.",2001-03-10,5,4.3,5.0,5.7,5.7,5.9,14183.12,14214.516,14372.785,14519.633,14614.141,2.961886,3.388746,3.46848,3.026606,2.619135,27.24,25.88,24.42,29.67,33.55
September 11 Attacks,Terrorist attacks in the United States.,"On September 11, 2001, a series of coordinated terrorist attacks by the extremist group Al-Qaeda targeted the United States. Nineteen terrorists hijacked four commercial airliners, crashing two into the Twin Towers of the World Trade Center in New York City and one into the Pentagon, while the fourth, United Airlines Flight 93, crashed in Pennsylvania after passengers attempted to regain control. The attacks led to the deaths of nearly 3,000 people and significant destruction. Economically, the attacks caused immediate panic, the closure of financial markets, and a loss of consumer and business confidence. The United States experienced a recession following the attacks, and the airline industry faced severe downturns, leading to massive layoffs and bankruptcies. The costs of increased security measures and military responses further strained the economy.",2001-09-11,5,5.0,5.7,5.7,5.9,6.1,14214.516,14372.785,14519.633,14614.141,14988.782,3.388746,3.46848,3.026606,2.619135,2.174311,25.88,24.42,29.67,33.55,28.29
Enron Scandal,Corporate fraud and bankruptcy of Enron Corporation.,"The Enron scandal erupted in late 2001 when it was revealed that Enron Corporation, one of the largest energy companies in the world, had been engaged in widespread accounting fraud. The company had been inflating its profits and hiding debt through complex financial structures. When the truth came to light, Enron filed for bankruptcy in December 2001, costing thousands of jobs and billions in investments. This scandal triggered one of the biggest collapses in corporate history and led to increased regulatory scrutiny in the financial markets. It shed light on the deficiencies in corporate governance and accounting practices, ultimately leading to the Sarbanes-Oxley Act in 2002, aimed at enhancing corporate accountability. The scandal severely impacted investor confidence in the stock market and affected the economy.",2001-12-02,4,5.7,5.8,6.0,6.1,5.7,14253.574,14460.848,14537.58,14743.567,15162.76,3.564921,3.452132,2.792164,2.338588,1.967767,19.33,27.02,29.42,28.14,32.15
Global Financial Crisis (2007-2008),Severe worldwide economic crisis.,"The Global Financial Crisis, which began in 2007 and reached its peak in 2008, was a severe worldwide economic crisis that started with the collapse of the housing bubble in the United States. High-risk mortgage lending practices, particularly subprime loans, led to a spike in home foreclosures. Financial institutions accumulated massive losses on mortgage-backed securities, leading to a liquidity crisis. Major financial institutions such as Lehman Brothers declared bankruptcy in September 2008, marking a significant turning point. The crisis led to a severe recession, massive unemployment, and government bailouts of various financial institutions around the world. The global economy witnessed a significant contraction, and the effects of the crisis were felt for many years, with slow recovery across many economies.",2008-09-15,5,6.1,8.7,9.8,9.9,9.5,16854.295,16298.262,16326.281,16582.71,16872.266,3.071629,2.437701,1.602846,0.9255024,0.6638685,103.9,47.98,69.46,81.24,75.31
Icelandic Financial Crisis,Collapse of Iceland's banking system.,"In 2008, Iceland's banking system collapsed, leading to a severe national financial crisis. The country's three major banks – Kaupthing, Landsbanki, and Glitnir – were over-leveraged, and as the global credit market tightened during the financial crisis, they became unable to refinance their debts. The government was forced to take control and ultimately nationalized the banks. The crisis led to severe economic contraction, as Iceland's economy plunged into a recession, unemployment surged, and the currency lost significant value. The impact on the economy was profound, requiring financial aid from the International Monetary Fund (IMF) and subsequently leading to extensive reforms and restructuring within the banking sector.",2008-10-06,4,6.5,9.0,10.0,9.9,9.4,16485.35,16269.145,16502.754,16743.162,16960.864,2.922213,2.359914,1.509202,0.869413,0.6723344,76.65,49.79,75.82,84.48,81.9
European Debt Crisis,A multi-year debt crisis affecting eurozone countries.,"The European Debt Crisis, which began in 2009, was a multi-year financial crisis that affected countries in the eurozone, particularly Greece, Ireland, Portugal, Spain, and Italy. It was triggered by high sovereign debt levels and a failure to manage fiscal policies effectively. Greece was the first country to face a severe crisis, resulting in the country needing bailouts from the EU and International Monetary Fund (IMF) to avoid default. The crisis led to massive austerity measures, social unrest, and a significant contraction in GDP for the affected countries. The European Central Bank took measures to stabilize the economy, which included lowering interest rates and purchasing government bonds. The crisis had long-lasting impacts on the European economy and led to greater scrutiny of fiscal policies within the eurozone.",2009-05-01,5,9.4,10.0,9.6,9.4,9.0,16269.145,16502.754,16743.162,16960.864,17035.114,2.273815,1.509202,0.793302,0.6723344,1.256079,59.16,75.82,73.84,81.9,101.33
China's Economic Rise,China's rapid economic growth in the early 2000s.,"Between 2000 and 2010, China experienced unprecedented economic growth, emerging as a global economic powerhouse. China's entry into the World Trade Organization (WTO) in 2001 catalyzed this growth, as it opened up its markets to international trade and investment. The manufacturing sector saw a massive boom, leading to a surge in exports. China's economic policies led to a migration of labor from rural areas to urban centers, fueling industrialization. The economic impact was significant, with China becoming the world's second-largest economy by 2010, influencing global trade dynamics, commodities markets, and even resulting in shifts in geopolitical power due to its economic leverage.",2010-01-01,4,9.8,9.4,9.1,9.1,8.3,16582.71,16743.162,16920.632,17035.114,17367.01,1.170764,0.7780127,0.9539952,1.29395,2.113351,78.22,75.35,89.42,96.29,100.24
Gulf Oil Spill (Deepwater Horizon),Massive oil spill caused by offshore drilling accident.,"In April 2010, the Deepwater Horizon oil rig, operated by BP, experienced a catastrophic blowout while drilling in the Gulf of Mexico, resulting in one of the largest environmental disasters in U.S. history. An estimated 4.9 million barrels of crude oil spilled into the Gulf over a period of 87 days, leading to unprecedented environmental damage and economic fallout for the coastal communities and industries reliant on the fishing and tourism sectors. The heavy costs of clean-up operations and legal liabilities for BP significantly impacted their stock prices and led to broader discussions on energy policy and offshore drilling regulations. The spill highlighted the vulnerabilities of the energy sector and had long-lasting repercussions for the local and national economy.",2010-04-20,5,9.9,9.4,9.1,8.8,8.2,16743.162,16960.864,17035.114,17222.583,17444.525,0.869413,0.6723344,1.210295,1.835844,2.191796,84.48,81.9,110.04,86.41,103.33
Haitian Earthquake,Devastating earthquake in Haiti.,"On January 12, 2010, a powerful earthquake struck Haiti, registering a magnitude of 7.0. The epicenter was near the densely populated capital, Port-au-Prince, devastating the infrastructure and displacing millions. An estimated 230,000 people lost their lives, and many more were injured. The economic impact was catastrophic; the nation's infrastructure was crippled, and the estimated damage was around $8 billion, which was about 120% of Haiti's GDP. The international community responded with significant humanitarian aid, but the recovery took years, revealing existing vulnerabilities within the Haitian economy and governance.",2010-01-12,5,9.8,9.4,9.1,9.0,8.3,16582.71,16872.266,16920.632,17031.313,17367.01,1.170764,0.7440706,0.9539952,1.41844,2.113351,78.22,76.37,89.42,97.19,100.24
Eurozone Debt Crisis,Economic turmoil in the Eurozone region due to high public debt levels.,"Beginning in 2010, several countries in the Eurozone, particularly Greece, faced rising government debt and deficits. This led to fears of default and the potential for financial contagion across Europe. Countries like Portugal, Ireland, Italy, Greece, and Spain struggled with their debts, prompting intervention from the European Central Bank and the International Monetary Fund. The Eurozone Debt Crisis led to austerity measures in affected countries, resulting in widespread public unrest and economic decline. The crisis had significant global repercussions, leading to weakened investor confidence and a slowdown in economic recovery worldwide.",2010-01-01,5,9.8,9.4,9.1,9.1,8.3,16582.71,16743.162,16920.632,17035.114,17367.01,1.170764,0.7780127,0.9539952,1.29395,2.113351,78.22,75.35,89.42,96.29,100.24
